Дата, дд.мм.гг	 Время, чч:мм:сс	               + мкс	  Время со старта, с	        Номер каналa	Тип информации  (АЭ)	      Амплитуда, АЦП	       Амплитуда, дБ	      Амплитуда, мкВ	  Ампл./Выбросы, мкВ	   Энергия*1e-24, Дж	         Энергия, дБ	      Энергия, MARSE	   Длительность, мкс	Время нарастания,мкс	      Число выбросов	Выбросы/Длительн,кГц	    Аппаратные флаги
06.10.23	            11:57:24	              347681	                  11	                  07	                (АЭ)	                  22	                36.6	                67.3	                22.4	            32827133	                75.2	           5729496.7	                 125	                 124	                   3	                  24	                 ---
06.10.23	            11:57:24	              348024	                  11	                  02	                (АЭ)	                  21	                36.2	                64.2	                64.2	            18243202	                72.6	           4271206.1	                   1	                   1	                   1	                1000	                 ---
06.10.23	            11:57:24	              348614	                  11	                  02	                (АЭ)	                  26	                38.0	                79.5	                39.8	            30712178	                74.9	           5541856.9	                  93	                  93	                   2	                  21	                 ---
06.10.23	            11:57:24	              342471	                  11	                  03	                (АЭ)	                  45	                42.8	               137.7	                 1.6	           648810126	                88.1	          25471751.5	                6059	                2709	                  88	                  14	                 ---
06.10.23	            11:57:24	              348538	                  11	                  07	                (АЭ)	                  26	                38.0	                79.5	                39.8	            34794047	                75.4	           5898647.9	                 136	                 135	                   2	                  14	                 ---
06.10.23	            11:57:24	              342482	                  11	                  08	                (АЭ)	                  43	                42.4	               131.5	                 1.5	           635001394	                88.0	          25199234.0	                6404	                3220	                  88	                  13	                 ---
06.10.23	            11:57:24	              342370	                  11	                  01	                (АЭ)	                  54	                44.4	               165.2	                 1.8	           698330436	                88.4	          26425942.5	                6799	                 637	                  93	                  13	                 ---
06.10.23	            11:57:24	              348004	                  11	                  04	                (АЭ)	                  26	                38.0	                79.5	                13.3	           100753189	                80.0	          10037588.8	                1484	                   2	                   6	                   4	                 ---
06.10.23	            11:57:24	              349549	                  11	                  08	                (АЭ)	                  21	                36.2	                64.2	                64.2	            19434168	                72.9	           4408420.1	                   1	                   1	                   1	                1000	                 ---
06.10.23	            11:57:24	              349442	                  11	                  03	                (АЭ)	                  25	                37.7	                76.5	                25.5	            44845157	                76.5	           6696652.7	                 340	                  90	                   3	                   8	                 ---
06.10.23	            11:57:24	              350050	                  11	                  07	                (АЭ)	                  23	                36.9	                70.4	                70.4	            18705102	                72.7	           4324939.6	                   1	                   1	                   1	                1000	                 ---
06.10.23	            11:57:24	              350007	                  11	                  02	                (АЭ)	                  22	                36.6	                67.3	                67.3	            16338236	                72.1	           4042058.4	                   1	                   1	                   1	                1000	                 ---
06.10.23	            11:57:24	              350075	                  11	                  01	                (АЭ)	                  23	                36.9	                70.4	                17.6	            47612163	                76.8	           6900156.7	                 338	                   1	                   4	                  11	                 ---
06.10.23	            11:57:24	              350683	                  11	                  04	                (АЭ)	                  23	                36.9	                70.4	                70.4	            19149036	                72.8	           4375961.2	                   1	                   1	                   1	                1000	                 ---
06.10.23	            11:57:24	              350805	                  11	                  07	                (АЭ)	                  23	                36.9	                70.4	                70.4	            19664557	                72.9	           4434473.7	                   1	                   1	                   1	                1000	                 ---
